Date - MST,Avg. AIL,Avg. Price,Avg. Gas Price,Avg. Spark Spread
1/1/2015 12:00:00 AM,9820,$33.95,$2.63,$14.25
2/1/2015 12:00:00 AM,9764,$32.83,$2.64,$13.04
3/1/2015 12:00:00 AM,9347,$20.65,$2.60,$1.17
4/1/2015 12:00:00 AM,8710,$20.52,$2.43,$2.32
5/1/2015 12:00:00 AM,8378,$53.94,$2.64,$34.12
6/1/2015 12:00:00 AM,8784,$97.33,$2.49,$78.64
7/1/2015 12:00:00 AM,9163,$23.12,$2.72,$2.76
8/1/2015 12:00:00 AM,9100,$34.11,$2.80,$13.09
9/1/2015 12:00:00 AM,8670,$20.84,$2.74,$0.26
10/1/2015 12:00:00 AM,8936,$21.47,$2.46,$3.01
11/1/2015 12:00:00 AM,9460,$21.17,$2.40,$3.14
12/1/2015 12:00:00 AM,9834,$20.93,$2.19,$4.48
1/1/2016 12:00:00 AM,9869,$22.25,$2.26,$5.32
2/1/2016 12:00:00 AM,9543,$17.22,$1.70,$4.43
3/1/2016 12:00:00 AM,9200,$14.78,$1.26,$5.31
4/1/2016 12:00:00 AM,8475,$13.64,$1.10,$5.40
5/1/2016 12:00:00 AM,7854,$15.89,$1.17,$7.13
6/1/2016 12:00:00 AM,8370,$15.44,$1.80,$1.94
7/1/2016 12:00:00 AM,8843,$18.21,$2.26,$1.23
8/1/2016 12:00:00 AM,8976,$17.90,$1.88,$3.84
9/1/2016 12:00:00 AM,8741,$17.70,$2.53,-$1.26
10/1/2016 12:00:00 AM,9092,$25.37,$2.96,$3.15
11/1/2016 12:00:00 AM,9543,$16.33,$2.64,-$3.46
12/1/2016 12:00:00 AM,10177,$24.21,$3.23,$0.00
1/1/2017 12:00:00 AM,10089,$23.96,$2.77,$3.21
2/1/2017 12:00:00 AM,9929,$22.18,$2.41,$4.13
3/1/2017 12:00:00 AM,9627,$21.00,$2.49,$2.30
4/1/2017 12:00:00 AM,8858,$19.11,$2.70,-$1.15
5/1/2017 12:00:00 AM,8746,$21.90,$2.83,$0.69
6/1/2017 12:00:00 AM,8873,$16.79,$2.38,-$1.06
7/1/2017 12:00:00 AM,9371,$26.95,$1.57,$15.14
8/1/2017 12:00:00 AM,9324,$24.57,$1.74,$11.55
9/1/2017 12:00:00 AM,9020,$22.10,$0.91,$15.24
10/1/2017 12:00:00 AM,9035,$20.45,$0.83,$14.22
11/1/2017 12:00:00 AM,10031,$25.04,$2.19,$8.62
12/1/2017 12:00:00 AM,10229,$21.99,$1.99,$7.07
1/1/2018 12:00:00 AM,10290,$40.83,$2.00,$25.85
2/1/2018 12:00:00 AM,10470,$31.32,$1.89,$17.18
3/1/2018 12:00:00 AM,10002,$32.27,$1.97,$17.50
4/1/2018 12:00:00 AM,9286,$40.51,$1.46,$29.57
5/1/2018 12:00:00 AM,9063,$63.79,$1.14,$55.25
6/1/2018 12:00:00 AM,9198,$63.43,$0.88,$56.79
7/1/2018 12:00:00 AM,9557,$58.48,$1.22,$49.31
8/1/2018 12:00:00 AM,9649,$68.80,$0.89,$62.12
9/1/2018 12:00:00 AM,9290,$36.12,$1.45,$25.23
10/1/2018 12:00:00 AM,9694,$63.48,$1.34,$53.42
11/1/2018 12:00:00 AM,10161,$59.25,$1.50,$48.03
12/1/2018 12:00:00 AM,10267,$43.99,$1.59,$32.07
1/1/2019 12:00:00 AM,10308,$37.83,$1.80,$24.35
2/1/2019 12:00:00 AM,10689,$109.36,$3.10,$86.11
3/1/2019 12:00:00 AM,9917,$65.00,$2.45,$46.62
4/1/2019 12:00:00 AM,9307,$40.80,$0.92,$33.89
5/1/2019 12:00:00 AM,9105,$74.79,$1.99,$59.88
6/1/2019 12:00:00 AM,9285,$53.51,$0.45,$50.11
7/1/2019 12:00:00 AM,9487,$40.99,$1.35,$30.90
8/1/2019 12:00:00 AM,9442,$45.41,$0.69,$40.24
9/1/2019 12:00:00 AM,9158,$54.45,$0.61,$49.91
10/1/2019 12:00:00 AM,9439,$41.87,$2.13,$25.92
11/1/2019 12:00:00 AM,9914,$56.17,$2.63,$36.46
12/1/2019 12:00:00 AM,10346,$43.19,$2.24,$26.43
1/1/2020 12:00:00 AM,10517,$120.67,$2.18,$104.33
2/1/2020 12:00:00 AM,10208,$36.33,$1.77,$23.05
3/1/2020 12:00:00 AM,10007,$42.14,$1.86,$28.20
4/1/2020 12:00:00 AM,9089,$28.90,$1.91,$14.61
5/1/2020 12:00:00 AM,8503,$26.36,$1.98,$11.48
6/1/2020 12:00:00 AM,8740,$34.53,$1.79,$21.12
7/1/2020 12:00:00 AM,8975,$54.16,$1.90,$39.92
8/1/2020 12:00:00 AM,8970,$41.01,$2.34,$23.44
9/1/2020 12:00:00 AM,8845,$36.09,$2.21,$19.50
10/1/2020 12:00:00 AM,9394,$61.25,$2.36,$43.53
11/1/2020 12:00:00 AM,10069,$38.45,$2.69,$18.28
12/1/2020 12:00:00 AM,10241,$38.44,$2.44,$20.12
1/1/2021 12:00:00 AM,10266,$72.89,$2.62,$53.22
2/1/2021 12:00:00 AM,10620,$151.98,$3.62,$124.82
3/1/2021 12:00:00 AM,9783,$66.87,$2.58,$47.50
4/1/2021 12:00:00 AM,9087,$88.01,$2.66,$68.06
5/1/2021 12:00:00 AM,8961,$85.38,$2.94,$63.36
6/1/2021 12:00:00 AM,9654,$140.82,$3.22,$116.65
7/1/2021 12:00:00 AM,9920,$124.11,$3.72,$96.19
8/1/2021 12:00:00 AM,9296,$82.25,$2.81,$61.18
9/1/2021 12:00:00 AM,9015,$94.46,$3.38,$69.12
10/1/2021 12:00:00 AM,9454,$96.38,$5.02,$58.77
11/1/2021 12:00:00 AM,10057,$99.09,$4.44,$65.75
12/1/2021 12:00:00 AM,10670,$126.27,$3.88,$97.17
1/1/2022 12:00:00 AM,10512,$90.81,$4.21,$59.24
2/1/2022 12:00:00 AM,10417,$105.22,$4.46,$71.74
